timestamp,method,image_id,runtime_sec,image_path,output_path
2026-06-30 14:55:16,slic,2007_000676,0.257511,data/processed/images/val/2007_000676.jpg,results/pred_binary/slic/2007_000676.png
2026-06-30 14:55:16,canny,2007_000727,0.006380,data/processed/images/val/2007_000727.jpg,results/pred_binary/canny/2007_000727.png
2026-06-30 14:55:17,meanshift,2007_000727,0.843825,data/processed/images/val/2007_000727.jpg,results/pred_binary/meanshift/2007_000727.png
2026-06-30 14:55:18,slic,2007_000727,0.239799,data/processed/images/val/2007_000727.jpg,results/pred_binary/slic/2007_000727.png
2026-06-30 14:55:18,canny,2007_000762,0.005340,data/processed/images/val/2007_000762.jpg,results/pred_binary/canny/2007_000762.png
2026-06-30 14:55:19,meanshift,2007_000762,0.991758,data/processed/images/val/2007_000762.jpg,results/pred_binary/meanshift/2007_000762.png
2026-06-30 14:55:19,slic,2007_000762,0.261603,data/processed/images/val/2007_000762.jpg,results/pred_binary/slic/2007_000762.png
2026-06-30 14:55:19,canny,2007_000783,0.006062,data/processed/images/val/2007_000783.jpg,results/pred_binary/canny/2007_000783.png
2026-06-30 14:55:21,meanshift,2007_000783,1.839644,data/processed/images/val/2007_000783.jpg,results/pred_binary/meanshift/2007_000783.png
2026-06-30 14:55:21,slic,2007_000783,0.310271,data/processed/images/val/2007_000783.jpg,results/pred_binary/slic/2007_000783.png
2026-06-30 14:55:21,canny,2007_000799,0.009284,data/processed/images/val/2007_000799.jpg,results/pred_binary/canny/2007_000799.png
2026-06-30 14:55:22,meanshift,2007_000799,0.946846,data/processed/images/val/2007_000799.jpg,results/pred_binary/meanshift/2007_000799.png
2026-06-30 14:55:22,slic,2007_000799,0.330423,data/processed/images/val/2007_000799.jpg,results/pred_binary/slic/2007_000799.png
2026-06-30 14:55:22,canny,2007_000804,0.005427,data/processed/images/val/2007_000804.jpg,results/pred_binary/canny/2007_000804.png
2026-06-30 14:55:23,meanshift,2007_000804,0.745620,data/processed/images/val/2007_000804.jpg,results/pred_binary/meanshift/2007_000804.png
2026-06-30 14:55:23,slic,2007_000804,0.224261,data/processed/images/val/2007_000804.jpg,results/pred_binary/slic/2007_000804.png
2026-06-30 14:55:23,canny,2007_000830,0.004953,data/processed/images/val/2007_000830.jpg,results/pred_binary/canny/2007_000830.png
2026-06-30 14:55:24,meanshift,2007_000830,0.554347,data/processed/images/val/2007_000830.jpg,results/pred_binary/meanshift/2007_000830.png
2026-06-30 14:55:24,slic,2007_000830,0.249717,data/processed/images/val/2007_000830.jpg,results/pred_binary/slic/2007_000830.png
2026-06-30 14:55:24,canny,2007_000837,0.004888,data/processed/images/val/2007_000837.jpg,results/pred_binary/canny/2007_000837.png
2026-06-30 14:55:24,meanshift,2007_000837,0.315802,data/processed/images/val/2007_000837.jpg,results/pred_binary/meanshift/2007_000837.png
2026-06-30 14:55:25,slic,2007_000837,0.160849,data/processed/images/val/2007_000837.jpg,results/pred_binary/slic/2007_000837.png
2026-06-30 14:55:25,canny,2007_000847,0.010823,data/processed/images/val/2007_000847.jpg,results/pred_binary/canny/2007_000847.png
2026-06-30 14:55:26,meanshift,2007_000847,1.039099,data/processed/images/val/2007_000847.jpg,results/pred_binary/meanshift/2007_000847.png
2026-06-30 14:55:26,slic,2007_000847,0.238985,data/processed/images/val/2007_000847.jpg,results/pred_binary/slic/2007_000847.png
2026-06-30 14:55:26,canny,2007_000862,0.003929,data/processed/images/val/2007_000862.jpg,results/pred_binary/canny/2007_000862.png
2026-06-30 14:55:26,meanshift,2007_000862,0.062858,data/processed/images/val/2007_000862.jpg,results/pred_binary/meanshift/2007_000862.png
2026-06-30 14:55:26,slic,2007_000862,0.264705,data/processed/images/val/2007_000862.jpg,results/pred_binary/slic/2007_000862.png
2026-06-30 14:55:26,canny,2007_000925,0.005192,data/processed/images/val/2007_000925.jpg,results/pred_binary/canny/2007_000925.png
